Term Name,Subject,Catalog Nbr,Crs Descr,Class Section,Instructor,Total,A+,A,A-,B+,B,B-,C+,C,P,C-,D,F,Withdrawal,Inc/No Grade,Average GPA
Term,Subject,Course Number,Course Description,Class Section,Instructor,Total Enrolled,A+,A,A-,B+,B,B-,C+,C,P,C-,D,F,Withdrawal,Inc/No Grade,Average GPA
Fall 2019,AACS,107,Immigrant Communities Queens,1,"KHANDELWAL, M",11,0,1,4,4,2,0,0,0,0,0,0,0,0,0,3.454545455
Fall 2019,ACCT,100,Fin & Mgr Acct,1,"HO, V",18,0,7,4,2,4,0,0,0,0,0,0,0,1,0,3.611764706
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,11,"CHAN, J",35,0,22,2,3,2,3,0,0,0,0,0,0,2,1,3.73125
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,12,"MINTZ, C",18,0,5,0,5,3,2,0,0,0,0,0,0,2,1,3.393333333
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,2,"GRUZA, M",35,1,2,5,9,2,0,0,1,0,0,0,4,11,0,2.841666667
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,10,"SOLARSH, E",30,1,0,1,4,4,5,1,2,0,2,2,1,6,1,2.526086957
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,5,"FEISULLIN, A",35,5,1,3,1,3,2,5,4,0,1,1,7,2,0,2.272727273
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,4,"FEISULLIN, A",52,5,3,2,1,3,6,7,3,0,6,1,8,2,5,2.248888889
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,7,"COWAN DOCKERY, M",30,2,2,1,0,3,2,1,10,0,1,0,5,2,1,2.151851852
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,3,"RUTHIZER, S",35,3,1,2,1,4,2,3,2,0,3,2,6,4,2,2.14137931
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,8,"SOLARSH, E",34,1,2,0,3,2,5,1,1,1,7,2,4,4,1,2.128571429
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,9,"HUANG, Q",30,0,5,2,1,4,0,0,2,0,0,5,6,4,1,2.068
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,1,"DAUBER, N",35,3,4,1,0,1,1,1,4,1,3,7,4,4,1,2.062068966
Fall 2019,ACCT,101,Int Theo & Prac Acct 1,6,"RUTHIZER, S",35,6,0,0,3,2,1,1,1,0,1,4,8,7,1,1.948148148
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,10,"BENJAMIN, R",19,6,0,0,2,2,0,1,2,0,0,0,0,3,3,3.3
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,9,"LUO, C",14,2,0,1,1,2,0,2,0,0,1,0,0,4,1,3.033333333
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,5,"FEISULLIN, A",46,4,5,3,5,1,5,8,5,0,1,1,3,5,0,2.712195122
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,4,"FEISULLIN, A",45,6,1,2,8,5,1,7,6,0,1,1,3,3,1,2.690243902
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,8,"BENJAMIN, R",11,2,0,0,1,1,0,1,2,0,0,0,1,3,0,2.575
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,1,"GRUZA, M",31,0,3,3,3,1,1,2,12,0,0,0,3,3,0,2.403571429
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,6,"DAVID, A",36,0,2,3,4,1,1,2,5,0,0,0,8,10,0,2.023076923
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,3,"RUTHIZER, S",45,3,0,1,4,3,1,5,2,1,0,2,10,11,2,1.874193548
Fall 2019,ACCT,102,Intro Theo & Prac Acct 2,2,"RUTHIZER, S",45,2,1,2,1,3,5,3,3,0,1,11,8,5,0,1.77
Fall 2019,ACCT,201,Intermediate Accounting l,1,"HORNUNG, D",37,0,16,2,3,4,5,1,5,0,0,0,0,1,0,3.308333333
Fall 2019,ACCT,201,Intermediate Accounting l,3,"SUN, T",35,5,9,0,8,5,0,0,2,0,0,1,1,3,1,3.303225806
Fall 2019,ACCT,201,Intermediate Accounting l,2,"WEISS, R",30,1,6,3,6,5,3,0,2,0,1,0,3,0,0,2.923333333
Fall 2019,ACCT,201,Intermediate Accounting l,6,"ZAPF, M",36,3,3,3,4,5,0,3,2,0,2,3,2,5,1,2.686666667
Fall 2019,ACCT,201,Intermediate Accounting l,7,"COWAN DOCKERY, M",36,3,4,1,1,3,2,2,13,0,1,0,2,4,0,2.553125
Fall 2019,ACCT,201,Intermediate Accounting l,4,"SUN, T",29,4,3,0,6,3,0,1,2,0,0,2,5,2,1,2.503846154
Fall 2019,ACCT,201,Intermediate Accounting l,5,"UDDIN, M",28,0,1,2,2,4,0,1,3,0,0,7,7,1,0,1.677777778
Fall 2019,ACCT,202,Intermediate Accounting II,2,"HORNUNG, D",30,0,20,4,2,1,1,0,1,0,0,0,0,1,0,3.762068966
Fall 2019,ACCT,202,Intermediate Accounting II,1,"HORNUNG, D",32,0,22,1,0,1,4,0,4,0,0,0,0,0,0,3.546875
Fall 2019,ACCT,202,Intermediate Accounting II,6,"KUMAR, V",30,2,9,0,0,7,0,0,4,0,0,0,0,5,3,3.318181818
Fall 2019,ACCT,202,Intermediate Accounting II,5,"SCHWALB, H",15,0,5,1,1,0,1,1,2,0,0,3,0,0,1,2.785714286
Fall 2019,ACCT,202,Intermediate Accounting II,7,"SCHWALB, H",22,0,5,1,0,4,0,1,3,0,0,1,2,3,2,2.647058824
Fall 2019,ACCT,202,Intermediate Accounting II,3,"SCHWALB, H",30,0,7,0,0,6,1,1,7,0,0,3,2,3,0,2.518518519
Fall 2019,ACCT,202,Intermediate Accounting II,4,"WEISS, R",30,0,3,2,2,2,4,3,2,0,1,3,7,0,1,2.013793103
Fall 2019,ACCT,261,Business Law I,9,"STEIN, R",36,3,9,5,9,1,3,0,0,0,0,0,0,5,1,3.576666667
Fall 2019,ACCT,261,Business Law I,2,"MINTZ, S",36,2,5,9,5,5,9,0,0,0,0,0,0,1,0,3.345714286
Fall 2019,ACCT,261,Business Law I,1,"MINTZ, S",36,2,3,5,3,5,13,0,1,0,0,0,0,2,2,3.140625
Fall 2019,ACCT,261,Business Law I,7,"KIRSCHNER, D",35,1,5,2,2,9,3,4,5,0,1,0,0,3,0,2.9375
Fall 2019,ACCT,261,Business Law I,8,"SEYMORE, J",21,0,3,2,5,0,3,1,3,0,1,0,1,2,0,2.842105263
Fall 2019,ACCT,261,Business Law I,6,"MILICH, M",35,1,1,3,3,7,7,3,2,0,2,1,0,1,4,2.806666667
Fall 2019,ACCT,261,Business Law I,3,"LEIBOWICZ, B",34,2,2,1,3,3,6,4,3,0,0,3,0,7,0,2.703703704
Fall 2019,ACCT,261,Business Law I,5,"MILICH, M",36,3,2,3,4,2,1,3,5,0,2,1,2,7,1,2.653571429
Fall 2019,ACCT,305,Cost Accounting,5,"COHEN, M",39,4,6,7,7,3,3,1,1,0,0,2,2,3,0,3.122222222
Fall 2019,ACCT,305,Cost Accounting,3,"COHEN, M",36,3,9,6,2,4,5,2,1,0,0,0,3,1,0,3.111428571
Fall 2019,ACCT,305,Cost Accounting,4,"COHEN, M",38,3,7,5,4,5,3,0,7,0,0,1,2,1,0,2.967567568
Fall 2019,ACCT,305,Cost Accounting,2,"HUANG, Q",27,4,2,2,2,2,2,5,3,0,0,1,3,1,0,2.611538462
Fall 2019,ACCT,305,Cost Accounting,1,"HUANG, Q",34,2,1,3,6,5,0,2,4,0,3,2,4,2,0,2.425
Fall 2019,ACCT,305,Cost Accounting,8,"QURESHI, A",38,2,4,0,2,3,4,4,7,0,0,0,7,5,0,2.23030303
Fall 2019,ACCT,305,Cost Accounting,7,"KESSAR, N",11,2,1,1,0,0,0,1,1,0,0,1,4,0,0,1.909090909
Fall 2019,ACCT,306,Quant Techniq Pln & Ctrl,3,"ADELBERG, A",76,33,17,5,4,8,3,1,1,0,0,0,1,3,0,3.67260274
Fall 2019,ACCT,306,Quant Techniq Pln & Ctrl,1,"STEVENS, M",38,1,3,4,6,4,4,1,5,0,0,1,4,5,0,2.627272727
Fall 2019,ACCT,306,Quant Techniq Pln & Ctrl,6,"QURESHI, A",51,5,6,0,5,5,12,0,8,0,0,0,8,2,0,2.528571429
Fall 2019,ACCT,306,Quant Techniq Pln & Ctrl,4,"SOLIERI, S",25,1,0,2,3,2,2,2,9,0,0,0,2,2,0,2.404347826
Fall 2019,ACCT,306,Quant Techniq Pln & Ctrl,2,"STEVENS, M",42,1,3,4,2,9,2,1,5,0,0,3,7,4,1,2.3
Fall 2019,ACCT,311,Advanced Accounting,7,"BALKARAN, D",49,0,9,9,19,10,2,0,0,0,0,0,0,0,0,3.416326531
Fall 2019,ACCT,311,Advanced Accounting,3,"DAVID, A",45,11,6,1,3,3,6,2,3,0,0,1,2,7,0,3.115789474
Fall 2019,ACCT,311,Advanced Accounting,4,"DAVID, A",45,4,6,6,3,6,5,2,3,0,0,1,1,8,0,3.113513514
Fall 2019,ACCT,311,Advanced Accounting,2,"SATENSTEIN, J",45,16,2,2,3,1,3,2,3,0,0,1,3,8,1,3.111111111
Fall 2019,ACCT,311,Advanced Accounting,1,"SATENSTEIN, J",45,9,1,2,0,4,1,1,6,0,0,3,7,11,0,2.335294118
Fall 2019,ACCT,311,Advanced Accounting,5,"JUVA, J",11,1,0,0,0,2,1,0,1,0,0,0,3,3,0,1.8375
Fall 2019,ACCT,311,Advanced Accounting,6,"UDDIN, M",22,0,1,1,1,1,2,1,2,0,1,5,6,1,0,1.542857143
Fall 2019,ACCT,321,Auditing I,5,"KUMAR, V",52,0,25,0,0,13,0,0,10,0,0,0,0,4,0,3.3125
Fall 2019,ACCT,321,Auditing I,2,"MINTZ, S",55,0,0,21,6,14,4,2,5,0,0,0,1,2,0,3.111320755
Fall 2019,ACCT,321,Auditing I,4,"FITZSIMONS, S",18,0,2,1,1,7,1,4,1,0,0,0,0,1,0,2.935294118
Fall 2019,ACCT,321,Auditing I,3,"SOLIERI, S",24,1,1,1,2,2,1,4,7,0,0,0,1,4,0,2.51
Fall 2019,ACCT,321,Auditing I,1,"DAUBER, N",55,1,1,1,4,8,7,9,7,0,3,7,6,1,0,2.122222222
Fall 2019,ACCT,322,Auditing II,5,"QAMAR, Z",36,9,2,8,4,3,4,1,3,0,0,0,0,2,0,3.379411765
Fall 2019,ACCT,322,Auditing II,1,"DAUBER, N",49,6,16,1,7,6,5,3,2,0,0,1,0,2,0,3.365957447
Fall 2019,ACCT,322,Auditing II,6,"QAMAR, Z",25,6,7,2,2,2,2,0,0,0,0,0,2,2,0,3.365217391
Fall 2019,ACCT,322,Auditing II,3,"HITZIG, N",14,0,0,3,0,4,1,0,2,0,1,0,0,3,0,2.863636364
Fall 2019,ACCT,322,Auditing II,4,"FITZSIMONS, S",34,0,1,1,3,14,8,4,2,0,0,0,0,0,1,2.860606061
Fall 2019,ACCT,322,Auditing II,2,"HITZIG, N",25,0,1,1,3,2,1,1,5,0,7,0,0,4,0,2.404761905
Fall 2019,ACCT,341,Accounting Information Systems,1,"QURESHI, A",50,3,5,6,15,8,5,0,4,0,0,0,1,3,0,3.174468085
Fall 2019,ACCT,343,Microcomputer Applications,1,"QURESHI, A",21,3,2,0,3,5,0,0,7,0,0,0,1,0,0,2.804761905
Fall 2019,ACCT,350,Financial Statement Analysis,1,"SATENSTEIN, J",18,0,6,5,2,1,2,0,0,0,0,0,0,2,0,3.59375
Fall 2019,ACCT,350,Financial Statement Analysis,2,"SILVERMAN, A",14,0,1,1,6,2,1,2,0,0,0,0,1,0,0,2.914285714
Fall 2019,ACCT,362,Business Law II,2,"KATZ, J",49,6,11,5,4,3,6,1,4,0,1,1,2,5,0,3.134090909
Fall 2019,ACCT,362,Business Law II,1,"ALTMAN, J",47,4,2,4,3,8,5,10,6,0,1,2,2,0,0,2.657446809
Fall 2019,ACCT,363,Business Law III,1,"HERCZOG, L",23,0,10,7,2,4,0,0,0,0,0,0,0,0,0,3.673913043
Fall 2019,ACCT,363,Business Law III,2,"ELAN, R",25,0,6,3,1,4,0,3,2,0,1,0,1,1,3,3
Fall 2019,ACCT,363,Business Law III,3,"LINN, D",20,1,2,1,2,3,3,1,5,0,1,0,0,1,0,2.810526316
Fall 2019,ACCT,367,Fed & Ny State Tax,6,"BALKARAN, D",52,0,16,10,11,8,4,1,0,0,0,0,1,1,0,3.419607843
Fall 2019,ACCT,367,Fed & Ny State Tax,3,"THALER, M",52,0,28,2,3,3,1,3,2,0,1,2,2,4,1,3.310638298
Fall 2019,ACCT,367,Fed & Ny State Tax,7,"CALAMARI, J",33,0,3,2,4,8,4,4,6,0,0,0,0,2,0,2.858064516
Fall 2019,ACCT,367,Fed & Ny State Tax,2,"BLUMENFRUCHT, I",39,4,5,1,2,1,3,5,9,0,0,0,3,4,2,2.633333333
Fall 2019,ACCT,367,Fed & Ny State Tax,1,"LEIBOWICZ, B",16,2,0,0,1,1,3,3,5,0,0,0,0,1,0,2.62
Fall 2019,ACCT,367,Fed & Ny State Tax,4,"BARONE, E",53,4,2,3,4,14,3,4,6,0,0,8,1,2,2,2.604081633
Fall 2019,ACCT,367,Fed & Ny State Tax,5,"BARONE, E",52,1,5,3,3,9,1,7,11,0,0,3,2,5,2,2.573333333
Fall 2019,ACCT,372,Gov & Nfp Acct & Aud,7,"BALKARAN, D",49,0,8,3,12,13,11,1,1,0,0,0,0,0,0,3.17755102
Fall 2019,ACCT,372,Gov & Nfp Acct & Aud,4,"SILVERMAN, A",47,6,4,6,4,6,7,4,5,0,0,0,1,3,1,3.058139535
Fall 2019,ACCT,372,Gov & Nfp Acct & Aud,2,"SUN, F",45,0,6,5,9,4,7,6,1,0,1,1,4,1,0,2.763636364
Fall 2019,ACCT,372,Gov & Nfp Acct & Aud,3,"SILVERMAN, A",48,5,4,3,4,14,2,1,6,0,0,4,4,1,0,2.680851064
Fall 2019,ACCT,372,Gov & Nfp Acct & Aud,1,"SUN, F",44,0,4,5,4,8,7,3,6,0,3,0,3,1,0,2.665116279
Fall 2019,ACCT,372,Gov & Nfp Acct & Aud,6,"XIAO, J",13,0,0,0,2,2,1,0,5,0,0,1,1,1,0,2.191666667
Fall 2019,ACCT,707,Issues In Mgmt Acct,1,"WHEATMAN, B",31,0,12,8,5,5,0,0,0,0,0,0,0,1,0,3.636666667
Fall 2019,ACCT,712,Adv Fin Acct Theory,1,"HUANG, Q",28,7,9,1,3,5,1,1,1,0,0,0,0,0,0,3.557142857
Fall 2019,ACCT,712,Adv Fin Acct Theory,2,"HITZIG, N",21,0,2,3,1,2,2,5,1,0,4,0,0,0,1,2.705
Fall 2019,ACCT,723,Adv Auditing Theory,2,"DIGNAM, A",35,0,13,20,1,0,0,0,0,0,0,0,0,1,0,3.802941176
Fall 2019,ACCT,723,Adv Auditing Theory,1,"DIGNAM, A",30,0,9,18,2,1,0,0,0,0,0,0,0,0,0,3.74
Fall 2019,ACCT,747,Communications and Accountants,1,"NIGRELLI, U",60,13,40,5,0,0,0,0,0,0,0,0,0,2,0,3.974137931
Fall 2019,ACCT,748,Adv Acct Info Systms,1,"SIEGFRIED, R",33,0,30,0,1,1,1,0,0,0,0,0,0,0,0,3.909090909
Fall 2019,ACCT,752,Adv Stdy In Bus Law,3,"LINN, D",27,0,9,2,1,6,5,1,2,0,1,0,0,0,0,3.192592593
Fall 2019,ACCT,757,Taxation of Business Entities,2,"AHRONI, S",31,0,19,2,3,4,0,1,0,0,0,0,0,2,0,3.710344828
Fall 2019,ACCT,757,Taxation of Business Entities,1,"BALKARAN, D",30,0,5,4,10,8,0,0,0,0,0,0,0,2,1,3.4
Fall 2019,ACCT,759,Estate and Gift Taxation,1,"AHRONI, S",20,0,7,4,4,2,1,2,0,0,0,0,0,0,0,3.465
Fall 2019,ACCT,773,Govt Acct & Audit,1,"XIAO, J",20,1,4,2,1,7,0,1,0,0,0,0,2,2,0,3
Fall 2019,ACCT,7913,Special Problems in Accounting,1,"SOLIERI, S",13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,4
Fall 2019,ACCT,362W,Business Law II,3,"MINTZ, S",21,0,6,8,4,3,0,0,0,0,0,0,0,0,0,3.60952381
Fall 2019,ACCT,362W,Business Law II,10,"STEIN, R",16,2,5,1,3,2,1,0,0,0,0,0,0,2,0,3.592857143
Fall 2019,ACCT,362W,Business Law II,2,"HERCZOG, L",20,2,5,2,3,3,2,0,0,0,0,0,0,2,1,3.511764706
Fall 2019,ACCT,362W,Business Law II,1,"HERCZOG, L",19,1,5,1,4,3,3,1,0,0,0,0,0,1,0,3.35
Fall 2019,ACCT,362W,Business Law II,5,"LINN, D",17,1,4,2,1,4,2,0,2,0,0,0,0,1,0,3.25625
Fall 2019,ACCT,362W,Business Law II,4,"LINN, D",12,0,2,1,2,2,0,0,3,0,0,0,0,0,2,3.03
Fall 2019,ACCT,362W,Business Law II,8,"SEYMORE, J",11,0,0,2,1,2,3,2,0,0,0,0,0,1,0,2.94
Fall 2019,ACCT,362W,Business Law II,6,"ALTMAN, J",20,0,4,3,3,3,1,3,0,0,0,0,2,1,0,2.926315789
Fall 2019,ACCT,362W,Business Law II,7,"ALTMAN, J",19,0,2,3,2,2,5,0,3,0,0,1,0,1,0,2.9
Fall 2019,ACCT,393W,Seminar in Accounting,1,"HERCZOG, L",22,1,13,1,0,1,0,0,1,0,0,0,1,4,0,3.594444444
Fall 2019,AFST,101,Survey African Civ 1,1,"COOPER OWENS, E",30,2,1,3,3,4,3,3,1,0,3,2,3,2,0,2.467857143
Fall 2019,AFST,201W,Introduction to Black Cultures,1,"COOPER OWENS, E",35,1,3,6,7,3,2,0,0,0,1,0,6,5,1,2.668965517
Fall 2019,AMST,110W,Intro Amer Soc/Culture,2,"MANSON, D",20,0,15,0,0,3,0,0,1,0,0,0,1,0,0,3.55
Fall 2019,AMST,110W,Intro Amer Soc/Culture,3,"MANSON, D",20,0,8,0,0,4,0,0,0,0,0,0,2,6,0,3.142857143
Fall 2019,AMST,110W,Intro Amer Soc/Culture,1,"MANSON, D",20,0,6,0,0,5,0,0,2,0,0,0,1,6,0,3.071428571
Fall 2019,ANTH,101,Intro To Cultural Anthropology,5,"LEYNSE, W",90,29,22,11,3,7,4,0,6,0,2,2,2,2,0,3.452272727
Fall 2019,ANTH,101,Intro To Cultural Anthropology,11,"PECHENKINA, E",43,13,3,12,5,3,3,0,1,0,0,0,2,1,0,3.428571429
Fall 2019,ANTH,101,Intro To Cultural Anthropology,11,"ROYCHOUDHURY, D",43,13,3,12,5,3,3,0,1,0,0,0,2,1,0,3.428571429
Fall 2019,ANTH,101,Intro To Cultural Anthropology,1,"UNLUONEN, E",43,7,10,7,2,3,4,3,4,0,0,0,1,2,0,3.297560976
Fall 2019,ANTH,101,Intro To Cultural Anthropology,7,"BIRTH, K",84,1,15,13,12,19,8,7,4,0,0,2,0,3,0,3.165432099
Fall 2019,ANTH,101,Intro To Cultural Anthropology,10,"PECHENKINA, E",85,15,9,7,9,8,13,0,1,0,4,1,14,4,0,2.722222222
Fall 2019,ANTH,101,Intro To Cultural Anthropology,10,"ROYCHOUDHURY, D",85,15,9,7,9,8,13,0,1,0,4,1,14,4,0,2.722222222
Fall 2019,ANTH,101,Intro To Cultural Anthropology,3,"LIMBERT, M",131,1,4,13,8,23,27,10,15,1,12,10,4,3,0,2.518110236
Fall 2019,ANTH,101,Intro To Cultural Anthropology,2,"HALLIBURTON, M",130,9,10,14,8,12,9,12,13,0,13,16,10,4,0,2.43015873
Fall 2019,ANTH,101,Intro To Cultural Anthropology,4,"HALLIBURTON, M",131,7,10,6,16,6,17,15,17,1,7,19,7,3,0,2.411811024
Fall 2019,ANTH,101,Intro To Cultural Anthropology,9,"CHOI, J",41,0,8,2,7,1,5,3,0,0,1,5,7,2,0,2.374358974
Fall 2019,ANTH,101,Intro To Cultural Anthropology,8,"PAYNE, R",112,1,16,8,5,14,5,2,19,0,6,19,8,9,0,2.34368932
Fall 2019,ANTH,101,Intro To Cultural Anthropology,6,"CHOI, J",43,0,10,4,2,1,5,5,0,1,1,4,9,1,0,2.319512195
Fall 2019,ANTH,102,Intro Human Evol,9,"SHIBATA, C",88,13,14,16,16,8,3,3,5,0,1,4,1,4,0,3.270238095
Fall 2019,ANTH,102,Intro Human Evol,4,"HENRIQUEZ, M",45,2,5,10,8,5,3,3,2,0,4,1,2,0,0,2.96
Fall 2019,ANTH,102,Intro Human Evol,10,"PAGANO, A",45,8,4,3,2,3,4,5,1,1,2,4,0,8,0,2.955555556
Fall 2019,ANTH,102,Intro Human Evol,7,"HENRIQUEZ, M",44,2,2,8,9,2,8,5,1,0,0,4,2,1,0,2.8
Fall 2019,ANTH,102,Intro Human Evol,3,"PLUMMER, T",89,8,10,4,10,11,9,8,9,0,4,9,2,1,4,2.729761905
Fall 2019,ANTH,102,Intro Human Evol,11,"PAGANO, A",70,14,5,3,6,4,2,5,8,0,5,11,0,6,1,2.719047619
Fall 2019,ANTH,102,Intro Human Evol,2,"LAMELA LOPEZ, R",139,21,16,12,9,13,13,5,14,0,12,5,19,0,0,2.597841727
Fall 2019,ANTH,102,Intro Human Evol,6,"AMANN, A",137,2,7,8,17,13,19,17,16,1,9,15,7,6,0,2.410769231
Fall 2019,ANTH,102,Intro Human Evol,8,"EVANS, K",114,2,8,11,11,12,13,5,11,1,8,16,10,5,1,2.347663551
Fall 2019,ANTH,102,Intro Human Evol,12,"LAMELA LOPEZ, R",109,10,7,9,6,9,8,10,6,0,7,14,18,5,0,2.217307692
Fall 2019,ANTH,103,Introduction to Archaeology,2,"TACHE, K",83,11,6,11,13,10,6,8,5,0,0,5,8,0,0,2.785542169
Fall 2019,ANTH,103,Introduction to Archaeology,6,"FEELEY, F",158,15,22,19,17,20,9,9,12,0,3,13,17,2,0,2.701923077
Fall 2019,ANTH,103,Introduction to Archaeology,4,"ROSE, N",44,7,3,2,5,7,3,4,3,0,1,2,5,1,1,2.664285714
Fall 2019,ANTH,103,Introduction to Archaeology,8,"SQUIRES, K",40,1,3,5,4,6,5,3,1,1,1,4,3,2,1,2.605555556
Fall 2019,ANTH,103,Introduction to Archaeology,9,"ROSE, N",35,2,2,4,3,5,3,2,0,0,3,1,4,6,0,2.568965517
Fall 2019,ANTH,103,Introduction to Archaeology,3,"TACHE, K",87,4,8,6,8,16,12,10,5,0,3,5,9,1,0,2.559302326
Fall 2019,ANTH,103,Introduction to Archaeology,7,"FEELEY, F",120,9,13,11,13,14,5,5,8,1,3,14,17,5,2,2.44375
Fall 2019,ANTH,103,Introduction to Archaeology,5,"PUGH, T",130,2,14,9,13,15,13,15,8,0,5,15,13,6,2,2.412295082
Fall 2019,ANTH,103,Introduction to Archaeology,10,"ROMERA BARBERA, A",45,1,2,3,3,2,6,3,6,0,4,5,6,4,0,2.095121951
Fall 2019,ANTH,103,Introduction to Archaeology,1,"ROMERA BARBERA, A",44,0,1,2,0,4,5,1,5,0,8,5,9,3,1,1.695
Fall 2019,ANTH,104,"Language, Culture, and Society",2,"RODRIGUEZ APONTE, J",90,8,18,9,11,11,7,2,4,0,1,4,3,9,3,3.125641026
Fall 2019,ANTH,104,"Language, Culture, and Society",4,"QUESADA NIETO, L",38,9,5,4,1,3,0,2,0,0,0,4,3,7,0,2.958064516
Fall 2019,ANTH,104,"Language, Culture, and Society",3,"MAKIHARA, M",155,0,23,18,12,24,23,13,7,2,7,6,13,6,1,2.699315068
Fall 2019,ANTH,104,"Language, Culture, and Society",1,"SCHMITT, D",80,4,9,6,7,7,5,8,3,2,13,2,7,4,3,2.53943662
Fall 2019,ANTH,200,History of Anthropology,1,"BIRTH, K",22,2,7,4,2,2,1,0,1,0,1,0,0,2,0,3.49
Fall 2019,ANTH,201,Essentials Of Cultural Anthro,1,"ELISHA, O",31,0,2,8,5,4,1,2,2,0,0,1,1,5,0,3.015384615
Fall 2019,ANTH,201,Essentials Of Cultural Anthro,2,"GALAL, O",10,1,2,0,0,0,0,0,0,0,0,1,2,4,0,2.166666667
Fall 2019,ANTH,212,Peoples of the Middle East,1,"LIMBERT, M",11,0,3,1,2,2,1,0,0,0,0,0,0,1,1,3.444444444
Fall 2019,ANTH,216,Peoples of Southeast Asia,1,"PAYNE, R",30,5,8,0,0,5,3,0,1,0,0,1,4,2,1,2.892592593
Fall 2019,ANTH,225,Medical Anthropology,1,"HALLIBURTON, M",18,1,1,4,5,0,1,0,0,0,1,0,0,1,4,3.361538462
Fall 2019,ANTH,240,Essentials of Archaeology,1,"MOORE, J",18,3,2,1,3,1,0,0,1,0,0,1,1,2,3,3.046153846
Fall 2019,ANTH,249,Vt:Topcis Arch Area St,2,"BAUER, A",14,0,3,0,1,2,1,1,0,0,1,1,1,2,1,2.636363636
Fall 2019,ANTH,260,Essent Biol Anthro,1,"MADIMENOS, F",18,5,3,1,2,2,1,0,1,0,0,0,1,2,0,3.3125
Fall 2019,ANTH,262,Introduction to Primates,1,"SHIBATA, C",16,2,3,8,2,0,0,0,0,0,0,0,0,1,0,3.746666667
Fall 2019,ANTH,276,Human Growth and Development,1,"MADIMENOS, F",15,3,1,1,1,3,0,2,2,0,0,1,1,0,0,2.773333333
Fall 2019,ANTH,280,Language and Social Identity,1,"RODRIGUEZ APONTE, J",35,8,3,2,6,5,1,0,0,1,0,1,4,3,1,2.996666667
Fall 2019,ANTH,302,Ecology and Culture,1,"MOORE, J",17,2,6,2,1,0,0,0,2,0,0,0,1,2,1,3.335714286
Fall 2019,ANTH,332,Anthropology of Memory,1,"STRASSLER, K",17,1,4,5,1,2,2,0,0,0,0,0,2,0,0,3.129411765
Fall 2019,ANTH,342,Origins of Complex Society,1,"PUGH, T",17,1,1,2,2,4,0,0,1,0,3,0,0,1,2,2.935714286
Fall 2019,ANTH,388,Voices of New York,1,"MAKIHARA, M",15,2,0,3,2,1,0,2,0,0,0,1,0,4,0,3.118181818
Fall 2019,ANTH,388,Voices of New York,1,"NEWMAN, M",15,2,0,3,2,1,0,2,0,0,0,1,0,4,0,3.118181818
Fall 2019,ANTH,246W,Archaeology of the Near East,1,"BAUER, A",19,0,0,2,2,3,4,2,1,0,1,0,0,4,0,2.806666667
Fall 2019,ARAB,101,Elementary Arabic I,3,"ABDELGHANY, H",23,6,7,5,3,0,0,0,0,0,0,0,0,2,0,3.828571429
Fall 2019,ARAB,101,Elementary Arabic I,1,"EDDAHABI, H",24,2,11,3,1,2,2,0,0,0,0,0,0,3,0,3.704761905
Fall 2019,ARAB,101,Elementary Arabic I,4,"TALEGHANI, R",22,9,3,2,0,1,0,0,1,0,1,0,1,2,2,3.45
Fall 2019,ARAB,101,Elementary Arabic I,2,"KUDSIEH, S",22,5,1,0,1,2,0,1,2,2,0,2,0,6,0,2.971428571
Fall 2019,ARAB,203,Intermediate Arabic I,1,"ABDELGHANY, H",14,5,5,2,0,0,0,0,0,0,0,0,0,2,0,3.95
Fall 2019,ARTH,1,Introduction to Art,1,"CLARK, W",50,1,5,6,7,7,5,7,2,0,5,0,0,2,3,2.942222222
Fall 2019,ARTH,101,History of Western Art I,2,"RACANIELLO, K",50,2,4,6,3,6,4,3,8,0,1,5,2,5,1,2.602272727
Fall 2019,ARTH,101,History of Western Art I,1,"HARTEL JR, H",50,0,2,1,3,2,3,6,8,0,6,7,9,3,0,1.759574468
Fall 2019,ARTH,102,History of Western Art II,2,"FREEMAN, E",40,7,6,8,3,6,3,0,1,0,2,0,2,2,0,3.236842105
Fall 2019,ARTH,102,History of Western Art II,1,"ORTON HATZIS, A",51,3,7,4,5,9,4,4,4,0,3,3,3,2,0,2.742857143
